equipment_name,supplier,origin_country,current_location,eta,required_on_site,status,lat,lng,po_number,cost_usd
UPS System 500kVA #1,Eaton,Germany,Frankfurt,2026-07-06,2026-07-08,at_risk,8.68,50.11,PO-2024001,2500000
UPS System 750kVA #2,ABB,USA,Port of Shanghai,2026-08-01,2026-08-07,at_risk,-27.4453,61.2304,PO-2024002,3200000
Diesel Generator Set 1MW #3,Cummins,Germany,Frankfurt,2026-07-21,2026-07-24,at_risk,8.68,50.11,PO-2024003,1800000
Diesel Generator Set 500kVA #4,BHEL,India,Mumbai,2026-07-21,2026-07-18,delayed,72.88,19.07,PO-2024004,900000
Diesel Generator Set 750kVA #5,MTU,USA,Mumbai Port,2026-09-25,2026-09-19,delayed,-19.2192,45.6044,PO-2024005,1200000
Cooling Tower Unit 100TR #6,Thermax,India,Mumbai Port,2026-08-15,2026-08-01,in_transit,31.5564,46.4349,PO-2024006,2000000
Cooling Tower Unit 150TR #7,Daikin,Singapore,Port of Singapore,2026-08-07,2026-09-10,in_transit,96.9502,57.8836,PO-2024007,2500000
Centrifugal Chiller 500TR #8,Trane,USA,Mumbai Port,2026-07-15,2026-07-20,in_transit,-46.1055,59.5081,PO-2024008,5000000
Centrifugal Chiller 750TR #9,Carrier,USA,In Transit to Site,2026-07-10,2026-07-25,in_transit,-67.2191,62.7119,PO-2024009,6500000
AHU Unit 10000 CMH #10,Johnson Controls,Singapore,Singapore,2026-07-13,2026-08-17,in_transit,103.82,1.35,PO-2024010,800000
AHU Unit 15000 CMH #11,Tradewinds,India,Mumbai Port,2026-07-07,2026-07-17,in_transit,42.566,25.0273,PO-2024011,600000
11kV Switchgear Panel #12,Siemens,Germany,Port of Singapore,2026-07-13,2026-07-29,in_transit,14.9637,60.0494,PO-2024012,3500000
11kV Switchgear Panel #13,ABB,Singapore,Port of Singapore,2026-07-12,2026-08-01,in_transit,85.5097,25.5018,PO-2024013,3200000
MV Transformer 11/0.4kV #14,ABB,Germany,Port of Singapore,2026-07-17,2026-08-03,in_transit,18.9902,69.8557,PO-2024014,2800000
UPS System 500kVA #15,Eaton,Germany,Port of Rotterdam,2026-07-06,2026-09-15,in_transit,15.6462,62.2191,PO-2024015,2500000
UPS System 750kVA #16,ABB,USA,In Transit to Site,2026-07-15,2026-07-21,in_transit,-32.0814,69.6347,PO-2024016,3200000
Diesel Generator Set 1MW #17,Cummins,Germany,Port of Singapore,2026-07-13,2026-08-27,in_transit,15.2047,50.1461,PO-2024017,1800000
Diesel Generator Set 500kVA #18,BHEL,India,Port of Singapore,2026-08-11,2026-07-17,in_transit,66.8822,71.8386,PO-2024018,900000
Diesel Generator Set 750kVA #19,MTU,USA,Chicago,2026-08-02,2026-07-28,in_transit,-87.63,41.88,PO-2024019,1200000
Cooling Tower Unit 100TR #20,Thermax,India,Port of Singapore,2026-07-02,2026-07-27,in_transit,65.1783,33.8718,PO-2024020,2000000
